tr	Def	Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .
tr	Def	Two of them were being run by 2 officials of the Ministry of the Interior !
tr	Def	The MoI in Iraq is equivalent to the US FBI , so this would be like having J . Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .
tr	Def	The third was being run by the head of an investment firm .
tr	Def	You wonder if he was manipulating the market with his bombing targets .
tr	Def	The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .
tr	Def	Although the announcement was probably made to show progress in identifying and breaking up terror cells , I don ' t find the news that the Baathists continue to penetrate the Iraqi government very hopeful .
tr	Def	It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .
tr	Def	The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .
tr	Def	This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country .)
tr	Def	In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .
tr	Def	His mother was also killed in the attack .
tr	Def	Two other Dulaim leaders have been killed in the past week and a half .
tr	Def	One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .
tr	Def	Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms .
tr	Def	Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec . 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .
tr	Def	The Commission said it had no legal grounds for such an exclusion .
tr	Def	The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas .
tr	Def	He is no longer in the dominant Shiite list , the United Iraqi Alliance , and won ' t have many seats in the new parliament .
tr	Def	Some 2 , 000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .
tr	Def	Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .
tr	Def	The situation in Iraq is only going to get better this way .
tr	Def	If he or she did not , then they should have all the same rights as other Iraqis .
tr	Def	The trial begins again Nov . 28 .
tr	Def	In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya .
tr	Def	There has been talk that the night curfew might be implemented again .
tr	Def	Fedayeen are now visible on the street and they have become bolder than ever .
tr	Def	Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47 ' s in the air .
tr	Def	They are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people .
