tr	Digit	DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .
tr	Digit	The MoI in Iraq is equivalent to the US FBI , so this would be like having J . Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .
tr	Digit	The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .
tr	Digit	Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .
tr	Digit	( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec . 15 elections .)
tr	Digit	Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec . 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .
tr	Digit	Some 2 , 000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .
tr	Digit	Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .
tr	Digit	The trial begins again Nov . 28 .
tr	Digit	Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone .
tr	Digit	There was a soothing authoritative UNSCEAR ( United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation - related health effects to most people exposed .
tr	Digit	Many people still believe that to be true , even though the Ministry of Russian Federation on Civil Defence , Emergencies and Elimination of Conseguences of Natural Disasters ( EMERCOM of Russia ) reported this in 1996 :
tr	Digit	However , in April 2001 , the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned . which contradict the earlier reports .
tr	Digit	The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .
tr	Digit	Because the US and Pakistan have managed to capture or kill about 2 / 3s of the top 25 al - Qaeda commanders , the middle managers are not in close contact with al - Zawahiri and Bin Laden .
tr	Digit	"These are 1 ) Assassinate or overthrow Gen . Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda ."
tr	Digit	His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad , as well as nearly 500 other al - Qaeda operatives , over 400 of whom the Pakistanis have turned over to the US .
tr	Digit	Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .
tr	Digit	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .
tr	Digit	Let ' s just remember a seminal Bush moment in 1999 :
tr	Digit	November 5 , 1999
tr	Digit	Web posted at : 3 : 29 p . m . EST ( 2029 GMT )
tr	Digit	The front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston .
tr	Digit	Hiller asked , inquiring about Gen . Pervaiz Musharraf , who seized control of the country October 12 .
tr	Digit	""" Wait , wait , is this 50 questions ?"" asked Bush ."
tr	Digit	Musharraf went on to play nuclear brinkmanship with India in 2002 , risking war twice that year .
tr	Digit	Although Musharraf did turn against the Taliban after September 11 , under extreme duress from the US , elements of his military continued to support radical Islamism and have recently been implicated in assassination attempts on Musharraf himself .
tr	Digit	"This was the body that Bush proclaimed was bringing "" stability "" to the region in fall of 1999 ."
tr	Digit	Friday , June 04 , 2004
tr	Digit	Although Israel withdrew from Lebanese territory in May 2000 , the radical Lebanese Shiite party , Hizbullah , has not been mollified .
tr	Digit	It is estimated to have some 5 , 000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .
tr	Digit	At some points , as in the late 1980s , he reportedly made behind - the - scenes overtures to the Israelis to arrive at some sort of a deal .
tr	Digit	Its ramshackle army had virtually collapsed before the American invasion in 2003 .
tr	Digit	The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15 , 000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .
tr	Digit	"Juan Cole ( www . juancole . com ) is a professor of modern Middle East history at the University of Michigan and author of "" Sacred Space and Holy War "" ( I . B . Tauris , 2002 )."
tr	Digit	Apart from the 1 , 200 Indian lives lost in 1987 , the Indian peacekeeping force was immensely unpopular not only in Tamil Nadu and the Jaffna peninsula but also among the Sinhalese majority who considered it a violation of their country ' s sovereignty .
tr	Digit	A veteran of India ' s military intervention in the Jaffna peninsula to help implement the 1987 Indo - Sri Lanka Peace Accord - which ambitiously provided for the disarming of the formidable LTTE - Kalkat said the new defense deal would essentially be a reiteration of the older one minus its military commitment .
tr	Digit	In 1987 , the Tamil Tigers reluctantly accepted the peace accord under Indian pressure .
tr	Digit	About 1 , 200 Indian soldiers were killed during this phase of the conflict .
tr	Digit	India had to pull back its forces from Sri Lanka in 1989 following the election of Ranasinghe Premadasa , a strong critic of Indian mediation .
tr	Digit	Apart from the 1 , 200 Indian lives lost in 1987 , the Indian peacekeeping force was immensely unpopular not only in Tamil Nadu and the Jaffna peninsula but also among the Sinhalese majority who considered it a violation of their country ' s sovereignty .
tr	Digit	Asia Times Online 16 / 11 / 2004
tr	Digit	The overwhelming majority of Muslims in Kashmir would be happy with such an outcome , except for the tiny jihadi segment patronized by the U . S . State Department and the Pakistan Army , which would like to even the score with India for their catastrophic defeat in Bangladesh in 1971 .
tr	Digit	Despite Sept . 11 , the United States still supports the Kashmir groups that back jihad as part of the price Washington is paying to keep Pervez Musharraf happy .
tr	Digit	It was the business community in India that stepped in after Vajpayee indulged in an empty bout of saber rattling in 2002 , pointing out that the only beneficiary of the mythical perception that war -- especially nuclear war -- was around the corner in the subcontinent was China .
